,content
125,　　第二塊業務是神州專車，走B2C的差異化模式，不同於私家車接入的C2C平臺。我們是專業司機、專業車輛，追求安全、舒適和標準化的服務。
126,　　本報訊(記者 劉珜)近日，網絡傳言北京搖號政策鬆動的說法，市交通委新聞發言人容軍表示，2017年小客車增量指標仍然控制在15萬輛，其中普通指標9萬，新能源指標6萬。今年還會研究2018年至2020年的調控政策。北京2020年機動車保有量將控制在630萬輛以內。
127,　　容軍表示，指標調控需要研究汽車能源結構、治理汙染、配置方法和額度等問題。但總體上確保總量不超過630萬輛。但需要注意的是，並不是每年的指標量全都轉化為實際的車輛了。比如2011年、2012年左右，每年均有幾千個普通車指標被棄，近兩年這種情況幾乎沒有了。新能源指標方面，最早也有大比例的棄購，但最近新能源車指標轉化為車的數量明顯增加。這些因素都需要以道路承載能力為約束條件來進行總體研究。
128,　　同時，針對多年來市民希望的以家庭為單位搖號的建議，容軍表示，以家庭為單位搖號是一個很好的方向，但在實施過程中是非常難的。
129,"　　,中新網,1月10日電9日，長安CX70T在重慶悅來國際會議中心豪擎上市。此次，長安CX70T共發佈了2款自動擋車型和2款手動擋車型，售價區間為8.99萬元-10.99萬元。"
130,　　車型售價(萬元)
131,　　豪擎版8.99
132,　　尊擎版9.79
133,　　豪擎自動版9.99
134,　　尊擎自動版10.99
135,　　長安CX70T搭載了藍芯Bluecore 1.5T發動機，並匹配了15萬級合資車型才有的日本愛信全新一代的6AT變速器，這對“跑得快，還聽話”的最佳動力拍檔，打造了超越同級的動力神器。
136,　　藍芯Bluecore 1.5T發動機擁有110KW的最大功率和230N•m的最大扭矩，優於目前市面上大部分10萬級SUV車型的210-220N•m最大扭矩輸出，為消費者帶來了強勁有力的動力輸出。
137,　　藍芯Bluecore 1.5T發動機由長安汽車英國伯明翰動力研發中心精心打造，該系列發動機已應用在長安CS系列、逸動系列和悅翔系列車型上，經過百萬車主檢驗，廣受好評。藍芯Bluecore 1.5T發動機配合博格華納的渦輪增壓技術，在1500轉時僅用0.2s渦輪即可介入，2000轉即可達到230N•m的峰值扭矩，而市面上同級車型，均在2000轉以上才開始渦輪介入。當你輕踩油門，強勁動力瞬間迸發，讓你在享受別人羨慕眼光的同時絕塵而去。
138,　　同時，長安CX70T還搭載了日本愛信全新一代6AT變速器，最大變速比為6.21，傳動效率達到96.19%，換擋響應時間僅為0.8s，性能遠超同級熱銷車型搭載的現代、自主CVT等變速器，堪稱一大神器。愛信全新一代6AT讓發動機學會了思考，讓長安CX70T既跑得快，還夠聽話，讓你成為車流中最從容、最平和的“舵手”，順暢、敏捷的換擋動作足以讓你心比天地寬。
139,　　用車不僅要強勁動力，還要節能環保。長安CX70T是10萬級別首次標配STT智能怠速啟停系統的車型，該系統能實時感知駕駛者的意圖，操作簡單，隨“踩”隨“停”，從容面對無休止的走走停停，啟停之間將節油進行到底，高達15%的節油表現，完全能夠解決你對“高油耗”的後顧之憂。
140,　　長安CX70T搭載的藍芯Bluecore 1.5T發動機和日本愛信全新一代6AT變速器這對最佳動力拍檔，匹配STT智能啟停系統，以更低的油耗帶你享受真正的速度與激情。
141,　　源自意大利都靈外觀設計中心的美學設計，長安CX70T讓你豪情釋放天生不凡。完勝同級的4705*1800*1775(mm)超大車身尺寸鑄就了其霸氣凌厲的整體外觀，六邊星雲式前格柵搭配小巧精緻的鍍鉻太陽標，將藝術變為現實；分割線前保，前翼子板上的“Turbo”標識，尾部貫通式鍍鉻飾條搭配“CHANGAN ”logo，讓整車酷勁十足。
142,　　當你週末呼朋喚友去遠郊遊玩時，長安CX70T 2780(mm)同級難以比肩的超長軸距，保證了其充裕的7座內部空間，輕鬆佈局2+3+2的7座劇院式座椅，輕鬆裝下你的全部行囊，讓你再也無需因空間侷促而有所取捨。中控臺採用鋼琴烤漆、瑪雅銀噴塗、鍍鉻飾條讓車內璀璨生輝，門板及中控箱、扶手均採用軟包裹，品質一流，頗有20w+級別高級轎車的製造水準。
143,　　並且長安CX70T通過十餘項NVH靜音技術和整車221項隔音處理，使怠速噪音低至37.6分貝，打造了同級最強NVH靜音系統，堪比圖書館級靜音體驗，達到主流合資轎車水平。當你閉上眼睛，在藝術與實用合體的長安CX70T中，無論是穿梭於城市的流光掠影之間，還是縱橫在茫茫草原之上，似乎城市的璀璨繁華和大自然的遼闊廣袤都那麼的觸手可及。
144,　　同級獨配的右側全景影像系統，當你駕駛長安CX70T在懸崖邊“舞蹈”時也多了一份從容淡定；來自德國大陸的ESC全能電子車身穩定系統，讓你的每一次轉彎都波瀾不驚；此外，長安CX70T配備了倒車隨動影像、胎壓監測系統、定速巡航、270°六點式泊車雷達等主動安全配置；同時，長安CX70T還擁有超高強度剛性車身、激光焊接防下潛座椅骨架、頭胸一體式側面安全氣囊、全尺寸前排乘員安全氣囊、側安全氣簾、ISOFIX兒童座椅固定裝置和7座三點式/預緊式安全帶等七項太空艙式被動安全配置。
145,　　菲亞特克萊斯勒汽車公司8日宣佈，將在2020年前投資10億美元用於美國中西部兩座工廠的設備升級，預計創造2000個與生產相關的工作崗位。
146,　　菲亞特克萊斯勒汽車首席執行官塞爾吉奧·馬爾基翁內在一份聲明中表示，這一計劃不僅將有助於滿足美國日益增長的市場需求，更重要的是，有助於向國際市場出口菲亞特克萊斯勒的大中型汽車。
147,　　美國當選總統特朗普近日在社交媒體推特上向美國通用、福特和日本豐田三大汽車公司施壓，阻止它們在墨西哥建廠並威脅將對此徵收重稅。（曹筱凡）
148,　　原標題：網約車新政下 部分“達標”二手車漲價
149,　　部分符合新政要求的二手車已漲價15%；和滴滴合作的租車公司透露，滴滴重心正轉向專車
150,　　北京某二手車市場中，相比緊湊型車型，符合新政要求的車型更受歡迎。新京報記者 覃澈 攝
151,　　亞運村汽車交易市場中租賃京牌是眾多商家的一項生意。新京報實習生 楊礪 攝
152,　　去還是留，網約車新政讓網約車司機再次面臨職業選擇。“先看一看，實在不行就回家。”32歲的徐浩在從機關食堂供應商轉型網約車司機一年多後再次面臨職業選擇。
153,　　據艾媒諮詢發佈的數據，若新政落地，38.2%網約車司機會去開黑車，17.8%會選擇離開所在城市。
154,　　從去年12月底開始，新京報記者通過採訪多位網約車司機，走訪二手車市場以及汽車租賃公司發現，有的網約車司機已準備賣車套現走人。有網約車司機在新政出臺後已連車牌一塊“出手”，儘管他們知道買賣車牌屬於非法。二手車市場上符合新政要求的車型價格已水漲船高，有的上漲了15%。
155,"　　為順應新政，租車公司也在轉換思路,主推符合專車運營標準的舒適性轎車給打算開專車的司機。某租車公司表示,開“快車”已不掙錢，很少有司機再租車開“快車”，專車市場才是滴滴未來重心。有滴滴專車司機表示，現在滴滴對專車有政策傾斜，早高峰時接單有補貼，機場線也只有專車才能跑。"
156,　　租京牌司機：
157,　　工作時間延長，收入打了6折
158,　　“政策落地後抓到就要罰款1萬到3萬，這個風險太高了。”32歲的徐浩熄了手中的煙，重新打開了滴滴打車的司機端，等待系統派單，“現在掙得少了，(為生活所迫)也得繼續幹。”
159,　　“80後”的他，退伍兵出身，在北京某部隊以士官身份退伍後，來往於家鄉與北京之間，做起了水果生意。
160,　　由於主要客戶為國企和政府機關的食堂，他的生意一直很穩定，“每年能賺十幾萬。”
161,　　兩年前，伴隨幾家客戶負責人更換，他的供應商身份也被別人代替。他嘗試過維繫新關係，不過，多次接觸後他大概明白，新的供應商是負責人帶來的。
162,　　2015年，網約車平臺激戰正酣。在高額補貼的刺激下，徐浩放棄了水果生意，他通過朋友以1年8000元的價格租賃了北京車牌，成為一名專職的快車司機。1年8000元的價格比出租車的份子錢少多了。某出租車司機告訴記者，出租車司機雙班份子錢一個月9000元，單班份子錢一個月5400元。
